,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
1217,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5
154,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12
479,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16
313,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
1889,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7
1003,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
2030,0.59,0.465,0.165,1.115,0.5165,0.273,0.275,10
1882,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
781,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12
3265,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
2211,0.565,0.47,0.195,1.142,0.387,0.258,0.35,17
4005,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,9
1454,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6
61,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
1421,0.72,0.575,0.17,1.9335,0.913,0.389,0.51,13
4164,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7
3903,0.635,0.48,0.235,1.064,0.413,0.228,0.36,16
227,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
2066,0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,10
1457,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
366,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
1687,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9
1270,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
1942,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9
2249,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12
2511,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6
4082,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9
1931,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,9
2183,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
980,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
3678,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
3464,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
3699,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11
3728,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,10
2501,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,9
1621,0.56,0.425,0.135,0.849,0.3265,0.221,0.2645,10
342,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
1292,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9
2532,0.625,0.49,0.155,1.33,0.6675,0.259,0.33,10
2913,0.59,0.5,0.15,1.142,0.485,0.265,0.345,9
1956,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,11
1499,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9
4134,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9
2406,0.58,0.46,0.185,1.017,0.3515,0.2,0.32,10
2726,0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
2780,0.59,0.475,0.14,0.977,0.4625,0.2025,0.275,10
1769,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
2420,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13
3067,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11
252,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
1792,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
3713,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11
1216,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
4079,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19,8
3703,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11
1857,0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8
2345,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17
65,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
2800,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,11
3154,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7
2996,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10
4089,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9
456,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15
3683,0.62,0.525,0.155,1.085,0.454,0.1965,0.35,10
1135,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,8
2078,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,8
3704,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11
1722,0.655,0.51,0.15,1.043,0.4795,0.223,0.305,9
3571,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9
2485,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8
3484,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
3294,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14
1911,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10
935,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7
2011,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
3483,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
3457,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,10
1955,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,12
4155,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6
3252,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
3659,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
3551,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
2840,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,9
2637,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7
260,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11
325,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7
847,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10
3525,0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6
613,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
1405,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13
3654,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,9
525,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
3135,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9
1985,0.76,0.605,0.215,2.173,0.801,0.4915,0.646,13
3385,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13
1054,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
3544,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
1542,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,7
396,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10
884,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10
15,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
1091,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6
2391,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10
2604,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
705,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
2218,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14
3169,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10
1189,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
1288,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7
3351,0.51,0.38,0.13,0.584,0.224,0.1355,0.185,13
2874,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8
3575,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8
3671,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10
3190,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
400,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
1813,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9
1940,0.625,0.52,0.18,1.354,0.4845,0.351,0.375,11
2019,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9
2918,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
1652,0.595,0.45,0.14,0.838,0.3965,0.194,0.217,10
60,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
2678,0.615,0.45,0.15,1.198,0.707,0.2095,0.2505,7
2623,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
943,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
2199,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,21
583,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,13
2974,0.745,0.575,0.2,1.884,0.954,0.336,0.495,12
2790,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10
3301,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11
4117,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,9
1082,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7
637,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
3866,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,10
2239,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8
1875,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,9
4114,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9
3648,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9
1790,0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10
370,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16
1645,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,10
2481,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8
3124,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236,10
1402,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,9
3447,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8
1070,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
98,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
3299,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,16
1970,0.675,0.515,0.15,1.312,0.556,0.2845,0.4115,11
490,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
248,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7
12,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
3860,0.55,0.465,0.15,1.082,0.3575,0.194,0.19,14
3384,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7
2087,0.72,0.585,0.22,1.914,0.9155,0.448,0.479,11
421,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11
3665,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9
2383,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16
770,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11
1600,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,7
2711,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
1222,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
1683,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12
3999,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6
1200,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
2652,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9
1640,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
1706,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10
1509,0.645,0.505,0.165,1.318,0.55,0.3015,0.335,11
971,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
2505,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6
164,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16
1335,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9
2464,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,11
3586,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325,11
4132,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10
2135,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12
3450,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
381,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10
1497,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,10
724,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
3669,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9
3198,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
1753,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10
805,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7
3314,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11
622,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12
1604,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10
2089,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10
84,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
2590,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,8
4008,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12
963,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
2523,0.565,0.44,0.15,0.983,0.4475,0.2355,0.2485,9
4057,0.69,0.535,0.185,1.826,0.797,0.409,0.499,11
3256,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
1095,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6
2144,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
3942,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,11
3666,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8
1141,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10
2401,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12
594,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12
2921,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,9
4154,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6
2699,0.67,0.5,0.2,1.269,0.576,0.2985,0.351,11
3495,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8
2453,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8
946,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
3288,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15
2510,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,8
3281,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
1194,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9
2893,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8
2660,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,8
3058,0.62,0.475,0.16,0.907,0.371,0.167,0.3075,11
360,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
1120,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
819,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
1117,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8
2535,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,11
703,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
2809,0.71,0.565,0.2,1.601,0.706,0.321,0.45,11
41,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
1933,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15
3335,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12
1574,0.48,0.355,0.16,0.464,0.221,0.106,0.239,8
779,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
1273,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
3555,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,8
405,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12
1025,0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
460,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11
2300,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10
394,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6
1830,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7
2186,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
4,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
118,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
3968,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6
846,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11
258,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
2259,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13
3589,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,11
2059,0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8
2005,0.395,0.29,0.095,0.3,0.158,0.068,0.078,7
2473,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32,14
356,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
674,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23
2195,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
3409,0.395,0.31,0.095,0.313,0.131,0.072,0.093,7
3404,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8
2092,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
1294,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,9
3995,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5
4100,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9
2145,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9
1446,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5
3333,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
1527,0.72,0.565,0.2,2.1055,1.017,0.363,0.494,12
3707,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
185,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
956,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
1081,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
2166,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6
3223,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
3488,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
1601,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9
495,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15
1878,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10
1487,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8
112,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
2631,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6
528,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12
3812,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,12
1205,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11
1093,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
1917,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10
2887,0.51,0.4,0.145,0.5775,0.231,0.143,0.177,9
3131,0.675,0.505,0.16,1.532,0.74,0.357,0.3815,11
2438,0.515,0.4,0.17,0.796,0.258,0.1755,0.28,16
2246,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10
3873,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5
445,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9
1150,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9
2498,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15
3766,0.555,0.44,0.14,0.846,0.346,0.1715,0.2735,10
2895,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
2567,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6
273,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
2332,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9
1670,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,12
3477,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6
2068,0.545,0.43,0.16,0.844,0.3945,0.1855,0.231,9
965,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
331,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
2435,0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
2077,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8
2953,0.645,0.52,0.17,1.197,0.526,0.2925,0.317,11
2793,0.63,0.505,0.175,1.221,0.555,0.252,0.34,12
1777,0.485,0.345,0.16,0.869,0.3085,0.185,0.319,9
2395,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14
1397,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
3405,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7
1359,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10
1204,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
3399,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8
1158,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9
783,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
450,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16
682,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7
176,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
3698,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10
1700,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
3175,0.51,0.405,0.12,0.61,0.229,0.131,0.235,11
1508,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11
3657,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,7
4064,0.64,0.49,0.18,1.36,0.653,0.347,0.305,9
4058,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,10
3132,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10
357,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
1647,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,10
926,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
657,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16
2273,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13
1867,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,9
158,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13
636,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
1036,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
452,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
148,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
2230,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13
2975,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
3367,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
1215,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5
286,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
3785,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9
170,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
2432,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,11
1961,0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
2633,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6
1742,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
3842,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,9
1949,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11
2551,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,6
3482,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7
3963,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,4
3927,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12
2594,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
161,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13
